median_household_income,city
207540,Winnetka
190966,Long Grove
179922,Kenilworth
178750,Riverwoods
17398,South Barrington
171250,Glencoe
168929,Green Oaks
167500,Golf
163558,Hinsdale
156938,Inverness
154505,Hawthorn Woods
154141,Kildeer
154107,Tower Lake
1510,Lake Forest
149226,Wayne
148214,Deer Park
148173,Oak Brook
14491,North Barrington
140361,Western Springs
139464,Bannockburn
136528,Trout Valley
135754,Deerfield
134464,Indian Creek
133179,Lake Bluff
132500,Mettawa
127764,Lakewood
126471,Wilmette
123125,Prestbury
120625,Union Hill
120192,Barrington Hills
119792,Timberlane
118438,Third Lake
117556,Campton Hills
115382,Highland Park
11585,Northbrook
113576,Burr Ridge
112572,Libertyville
111536,Plainfield
111250,Lincolnshire
110829,Frankfort
110469,Barrington
109512,Naperville
108846,Prairie Grove
108563,River Forest
108352,Gilberts
108294,Lake Zurich
107862,Lake Camelot
107792,Twin Grove
106604,Clarendon Hills
105750,Port Barrington
104417,Bull Valley
104343,Cary
103609,Sugar Grove
103423,Spring Grove
103281,Dunlap
103182,Lost Nation
102424,Northfield
101875,Millbrook
101125,Leland Grove
101115,Germantown Hills
100887,Mokena
100534,Algonquin
100500,Grandwood Park
100373,Flossmoor
98971,La Grange
98616,Wadsworth
9821,Heritage Lake
97900,Riverside
97323,Oswego
96768,Buffalo Grove
96464,Winfield
96327,New Lenox
96250,Fults
95680,Lincolnwood
95240,Elmhurst
94919,Bartlett
94551,Forsyth
93750,Goodfield
93588,Geneva
93272,The Galena Territory
93125,Plattville
92547,Homer Glen
92304,Glenview
9215,Batavia
91691,Sleepy Hollow
91292,Mahomet
9151,Glen Ellyn
90882,Shorewood
90859,Channahon
90778,Volo
90259,Rochester
89688,Olympia Fields
89667,Vernon Hills
88843,Lake Barrington
88633,Lindenhurst
88500,Lily Lake
88333,Ringwood
87967,Grayslake
87626,Park Ridge
87438,Frankfort Square
87410,Lemont
86806,Willowbrook CDP
86797,Johnsburg
86600,South Elgin
86387,Yorkville
86364,Fox River Grove
86250,Old Mill Creek
85865,Bartelso
85833,Elburn
85769,Sherman
85141,Gurnee
